,review,PN
93,We really enjoyed Miss Korea. The food was outstanding and I would recommend you to try this restaurant,1
94,"We visited at 11am for lunch on a weekday and we were seated right away. Waiter spoke some English, we ordered 2 of their ""best"" galbi dish without cheese ( we had to do 2 orders as per the waiter, we couldn't just order 1). It was very good, and cooked well by staff. I would recommend trying their food.",1
95,"Utterly unimpressed.
Although the price is cheap (6.75 for an entree), the content and quantity is abysmally small. I got the Spicy Pork stir fry with rice, and I ate all of it in 5 minutes and was dying for more food.  My friends' bibimbop and tofu pot had no beef, which was kinda ridiculous since the beef is supposed to be there. Perhaps if we had gotten the tabletop cooking the experience would have been different?

They are also stingy with their appetizer side dishes. Refuses to serve them until you get your meal and are reluctant to give you seconds.

Taste-wise they are definitely authentically Korean, just like the owners, who are super polite. 

I probably won't be back, since there are so many places around the area that are so much better.",0
96,"Called in here on a Monday night (5pm) when the doors open, we where in only 5mins and the place was full, so maybe book in advance, nice clean restaurant, had the house bbq that’s comes with a Korean beer included, good selection of meats and side plates",1
97,"If you don't mind propping up the North Korean regime then take a visit to Pyongyand, probably the closest to North Korea you will ever get. In line with other reviewers very bizarre to see the waitresses suddenly performing rousing songs on stage. Also had to chuckle when we saw stewed dog on the menu - no we did not order it!",1
98,"The contributors got it right with this place. Humble, cozy, friendly, ABSOLUTELY worth the visit. Don't expect a menu, it is tasty finger food. Excellent, creative drinks. We took a taxi there and the taxi driver spoke to the owner for directions. I never expected the Irish Owner to speak perfect Korean, but apparently he does. And then, get this, he waited outside for our taxi to arrive. Could he be nicer? NO. Could he have made a more inviting place for visitors to grab a drink and have a chat? No. Warren, you are a rock star and your bar is deserving of every 5 star review it gets. Like we told you that night -- we want to franchise you!",1
99,"Being a vegetarian, I was a bit sceptical about going to this place.And along with this I had never been to a Korean restaurant before. As soon as you enter, it smells so so good. Unfortunately very few vegetarian options and the 2 courses that I ordered were very ok for the price they were at. A special mention to the staff. They were so good. Great service, made us feel so comfortable and were always keeping a check in case we weren't sure about the BBQ. The chef had also come out once to check the bbq. My friend loved the food. But my food was ok and hence the 3 stars. Wish I could give more.",1
100,"This bar is newly opened and is an offshoot of another bar of the same name in Incheon City.
Very much nicer than all of the sterile airport hotel bars around this area. A lively welcome from Warren Kidd, the owner, who asks your name and introduces you to everyone in the bar. Makes for easy conversation and a friendly atmosphere.
The bar staff keep the party and conversation going by joining in - with a focus on encouraging the buying of rounds of drinks (""ring the bell and buy everyone in the bar a drink""!). Great for the profits, but also great for the atmosphere created. Genuinely enjoyable and a fun atmosphere.
I didn't have any of the food, but it looked like decent bar food (burgers etc).
A highly entertaining evening, marred slightly by the feeling that everyone was being pushed into drinking more. One of the best bars that I have visited.",1
101,"The Cinder Bar is a fantastic place to stop and make some new friends. Warren is the owner. Chances are he will personally greet you and make you feel like a long lost friend. The patrons are a great mix of local and westerners, very friendly. He has all the liquid refreshments you could hope for and a satisfying menu. I had a shrimp platter that was delicious. Aircrew are always welcome. Give it a try.",1
102,But the place dis not meet our expectations. The service was very slow and rather rude. They accept only cash. It was so cold inside the restaurant so we had to wear our jackets.,0
103,"I have been here four times. Twice for dine in and twice for carry out. I am not a Asian food aficionado, but the dishes I have had here have been very good. Even when I wasn't sure what I was ordering. I would definitely recommend the Kimchee Soup! It's great.",1
104,"Cinder Bar is one of the most hospitable bar/foreign bar I know in Incheon. It is located in the out skirt of Dream City, Incheon, near the bridge. Warren, the owner is kind, generous, respectful, and so are the rest of his crew. This is the first and only review I have written on my own for any travel site, and I will say this bar is a great place to make new and promising friends. You will get to meet some great people, many of whom are regulars there like myself... not saying I drink to often, but that I enjoyed hanging out with people from the bar. Not only is this bar a great meet up for old friends or new friends, but even other bar owners or restaurant come here to have a great time.",1
105,"Dreadful chinese. General tso was slimy, rice was underseasoned. Have renamed as Korean Wings.",0
106,Korean bbq is one of my favorite foods and while I don't live near Korea House this is where I go when I'm craving it. The wait staff is excellent and if you run out of sides they're more than happy to bring you more.,1
107,"it's a dalkalbi chained restaurant. You can find easily in some part of seoul.
Yummy food! the taste is the best.
Tips: save a bit of your chicken and order fried rice at the end. they will mix up the rice with the chicken and the leftover sauce. it is more delicious than the chicken itself!!
A must try",1
108,"Reservation man reject us because we have kids... what terrible services !!!... we angry and he keep reject us !!! He said no food for kids, find another restaurant...",0
109,"I am so glad i found it finally...after so long of searching for this korean resto. It is very authentic and brings you back to Seoul for their great dishes. It will not be called Amazing Chicken if you will not be amazed with the taste of their chicken dishes---the Yang Nyeom and Gan Jang or you can order it together! Superbly delicious!!! I cannot say more...you get to experience it and truly enjoy it. They offer you variety of complimentary appetizers and all the authentic korean dishes are there from the favorite japchae noodles to its bulgogi. Variety of soups such as kimchi, denjang and YukGaeJang will wake yourself up.

Highly Recommended for your dining experience.

Stars",1
110,This place destroyed my fondness for Korean food.,0
111,"It's 14.49 for a regular bowl the small bowl at 12.49 is too tiny for most 
 people,you pick out what you want in meat,veggies  and seasoning ,they fry it up,it's sort of a buffet line.It is okay but certainly not an inexpensive meal ,tasted okay but I see no reason to go back.They give you a choice of pasta or rice ,it will fill you up.Not for a tastes but it is worth giving it a try.",0
112,"Korean Grill House's night owl special (10PM to closing) gets you AYCE beef, pork, chicken, fish fillet, and squid along with unlimited refills of side dishes, steamed rice, and beef broth soup. The slices of beef and pork looked as if they were cut haphazardly as slices were either huge or miniscule. Everything was edible though I suggest you skip the soup. 

We were a group of five and arrived to an almost empty restaurant. The waiter brought us to the left side, where pillars sectioned tables into 4 persons per grill, and seated us so that we would have to share one grill. Our request to move to where 5 people could use two grills without anything hindering us was denied because they hadn't cleaned any of the tables or grills on the right side. It was odd but we weren't planning on making a big deal out of it. 

Last call was at around 1130PM. For the entirety of our time there, all the work staff were just gathered together and chit-chatting. That all changed once it hit midnight. Suddenly they were scurrying around, cleaning grills, clearing tables, moving carts to and fro. It felt like they were doing their best to pressure us to leave and the other two parties besides us looked as confused as we were. Closing time was at 1AM as listed on their website and on their door so why were they rushing us? Update your closing time or train your staff please.",0
113,"Excellent gin, kraken and cocktails. Good bar food too. I recommend the cinder shrimp. Wonderful company too. Warren and the team are great.",1
114,"Came here with a group on Friday night, and it was packed! Make sure you wear layers, because the place is hot + the food is hot. My friend and I shared the chicken and seafood dak gal bee with the Joon's original sauce and cheese. It was okay (I forgot to add in the rice cakes!). There's a minimum of two orders for that dish. Just a warning though: the prices do stack up because of the add-ons to the dak gal bee. But without some toppings, the plate can get bland. Other than that, all was good. Service was prompt. The restaurant has wooden tables, chairs, and booths. Noise level was very energetic.",0
115,"Writing this as the dakgalbi is cooking. Poor first impression, lousy service, forced ordering already gave a bad taste even before i bite into my first piece of chicken.

You'd rather go to a less popular dakgalbi restaurant than give your $ to a restaurant that thinks its too popular to forget about service quality and overall customer experience.",0
116,"From a Korean's perspective, I didn't find food at Miss Korea at all authentic or tasty. I could have made a better Bibimbap myself; Yuk-Kae-Jang tasted like mild beef stock; Kimchi-Jeon too sweet; Sam-Gyup-Sal tasted like cardboard.

I was surprised how Kimchi-Jeon and Hae-Mul-Pajeon were on desserts menu.... Just because the English translation is ""Kimchi pancakes"" and ""Seafood pancakes"" doesn't mean they are dessert material - far from it! The waiter who served me wasn't familiar with the menu, which made me having to point out the dishes one by one with my finger.

I was also appalled by how they refuse to serve tap water. Yes, bad for their profit - but shouldn't they still serve it if the customer wants it?",0
117,"This isn't the first time I ate at Joons, but it would definitely be my last. The only reason I still eat there despite its horrible service and selection of appetizer is because of their table cooking. I'll admit, I like their table cooking selections (I personally go for the chicken one) and along with that I always add a few side dishes to add to it. My typical selection is cheese, noodles x2 since we have two people and sweet potato. As usual, I ordered this except this time the waiter told me in half-understandable English that I can only order one noodle, even if I want to pay extra for it. Okay? So you don't want my money? And what kind of policy is it to not let customer order what they like? Fine, I got over that since it's not such a big deal. As usual, the appetizers did not come until nearly 20 minutes later. And no, asking them for it would not make it any faster. Infact, they had it on the counter all along but still didn't want to give it to you. I can confidently say this is their way of doing things because all four times I went, things never improved. The appetizers consist of: two pieces of broccoli, half a scoop of potato, some kimchi and a few beans. Every time I see it it just makes me not want to go back. Onto the horrendous main course that used to be good: Table Cooking. We decided to try something new today: Tofu Table Cooking. Everything seemed normal until we took a bite at the tofu, it was incredibly sour, not what a NON-EXPIRED tofu should taste like. YUCK! There is a saying that restaurants that are afraid of letting customers eat would not stay open for long, as they oppose the fundamentals of even opening a restaurant. DEFINITELY not recommended!",0
118,"Good food, with a menu of both japanese and korean dishes. The location is a little bit out of the way, but worth the trek for some quality bibimap!",1
119,"Friendly staff, good beer, wine and cocktail menu. Sport shown on the big telly (owned by a kiwi so good for rugby). Didn't eat so not sure about food,",1
120,"The best thing about this restaurant is the bbq at the table, it is worth a visit just for that reason as is unusually, food we orderd from the menu was ok lacked flavour certainly the soup. we felt other foods was slightly over priced for the lacking quality in the menu food, however the staff were friendly and the area was clean and tidy, not sure we would visit again.",1
121,"Horrible Soup
Just terribly Horrifying food
Their soup is Hot water with Rice... no taste
Found hair in food 
Total Wasted of Uber rides and paying for garbage food...

Buy the cheapest ingredients, loaded wth MSG, waters down the beef soup,  NO Thank you, please respect your customers if u want their money",0
122,"Le concept est sympa mais seigneur que le service est inacceptable. Nous n'avions pas le temps de manger tranquillement, nous avons du rusher pour commander notre derniere tournee a volonte.
Mais le pire c'est l'hygiene!!!! Tres tres sale, le plancher, les tables, douteux sur la vaisselle, les toilettes horrible et pour finir l'un des serveur passait la mope pendant que nous etions encore en train de manger...sans compter l'odeur de la mope. Cher pour ce que c'est. Bruyant a souhait mais dommage car le concept est sympa.",0
123,"I'll be honest. The only reason I'm giving this 3 stars is because the waiter was nice and was trying his best.  The manager is really nice and gave us free things to make up for the service. Music was loud as was the group of teenagers next to us who were screaming and banging on the table. The meat was served extremely slow. We got our menus after being seated for 25 minutes, got our food after 40 minutes. Portion sizes are small, pork belly is cheap quality, marinated meats are okay. You have to pay an extra $3 per order for the classics and best cuts like galbi and ribeye. The small dishes are small and good for literally one bite. Not to mention the grills are not covered underneath and I actually got burnt multiple times because my legs are long. Would not come here again for at least a few months. Manna is your place to go. Meat is better, service better, and everything is served faster. I've never been so hungry at an ayce",0
124,"Fake korean restaurant running by Chinese. 
Kimchi stew was terrible. And every dish i had taste like chinese herb. If you expect authentic Korean food please aware this place.",0
125,Love Korean food and thus place is great. Small but good. Service sometimes changes and varies in quality but the food has always been good to great. Green tea ice cream a must!,1
126,The restaurant is nice and cozy. The food is delicious so far I liked everything that I have ordered. The staff are very polite and helpfull,1
127,"The beer is reasonably priced including a few New Zeeland made beers you can't get anywhere else in Songdo. If you are feeling hungry they offer a couple options including some killer wings that come with a their own unique 'Cinder Sauce'. The real highlight of Cinder Bar is the service, the owner Warren is there every night and he is by far the best bartender in Incheon, he is warm friendly, and never let's an empty glass sit. Despite being born in New Zeeland he has lived in Korea long enough to speak fluent Korean. Because of this the atmosphere is unique it's not just a 'foreigner bar', every member of the Cinder crew can speak English and Korean so both locals and foreigner mingle in roughly equal proportions.",1
128,"So let me put this out here first - I've eaten at a Bon Chon located near Park Road. It was great. That's why they get a star. This location however has garbage customer service and completely unprofessional. I walk in and the lady assumes I'm picking up an order. Guess cause I'm alone?? When I say I want to be seated she seemed overwhelmed.  I guess she was cause then sits me down and doesn't come back. Period. Meanwhile a young man come in, sit down ,  get asked for their drink order,  and have it. I can tell the waitresses are not on the same page while the ghost waitress gives appetizers to other waitress table. It's disorganized. You can feel the tension. When ANOTHER waitress finally makes it to me I'm over it. I told her no one has waited on me and asked is there a staff shortage. She proceeds to insult the other waitress Asian race and say there's a shortage  of brains.  I ask is it taking awhile for food to come out and she says yes. I then proceed to exit. No one even tried to apologize or anything.",0
129,"Not known by many due to its hidden location in Summerlin, this restaurant has a great Japanese chef that was recruited from Osaka and a Korean chef that was recruited from Shilla hotel in Korea. 
The Korean chef cuts the meat everyday only when ordered to be fresh, the Japanese chef cut a sashimi that was literally melting in the mouth. 
The interior design was done by a Korean architecture firm out of San Francisco and they have extremely unique vents and tables that were flown from Korea. 
Definitely try a Friday night since the last time I was there I saw Andre Agassi who is a huge fan of hers.",0
130,We queued for about 20 minutes or so. The meal was so so to me. I wouldn't bother to line up for this. There are much better options in Myeondong.,0
131,"Went to try this restaurant the very first time but they successfully made us not to return. The Cash Only restaurant which you will be told when you sit down and of course again and again afterward. It was quick when order the food but long waiting time after that - you need to be patience and not too hungry so keep chatting or bring a book. Food was a bit disappointed. Frozen meat was served for BBQ - maybe it is ok??

Vegetables were not fresh. Food portion is small. We ordered a Kimchi fire rice as we love kimchi but it was so hard to dig out some kimchi and can hardly see the pork. Service was awful - all waitresses may had a super hard day. One of them turned off our BBQ cooker suddenly without even said a word when we still have meats on there.

Not a good experience, very disappointed.",0
132,"First time here and it was okay. I ordered the half&half lunch wing combo special or so I thought. I was given a mix of wings and drummettes. Go figure?  The spicy flavor trumped soy& garlic, plus preferred the wing meat.  For my side I enjoyed the thick skinned French fries.  Lunch was good going down, but felt slightly ill afterwards.  Could have been all the spices or related to the strange smell of the place. Glad to see this was observed by another reviewer, plus does not help matters as it is  located next to a pet salon.... Toss up if I repeat visit.",0
133,"Good option of bar for the expat crowd. Nothing special, pleasing mostly foreigners. All kinds of drinks, expensive and very small place, but apparently the only option in town if you don't speak Korean.",1
134,"We really enjoyed our dinner here, The hostess/owner was great, we ordered the platter for two that included two beers, My wife does not drink beer, so it was a win win. The food was flavorful and fresh, and we had fun cooking it. Our server refilled the vegetable sides as needed . Well worth the money",1
135,"It was my second visit last night and was really impressed with the food taste, presentation and service. Being a native Asian, I am very picky when it comes to Asian food and in this part of the globe, it's very difficult to find an authentic Asian food. Taste of Korea - Amazing Chicken is one of the few authentic Asian cuisine restaurant in Muscat. Food was presented with attention to detail and the taste was really tempting that I over ate again. Will definitely come back to try other listing service in the menu.",1
136,I cannot speak to the food since we did not eat there but clearly they have a lots of problems with the operation of the restaurant. Long waits with tons of empty tables. We were told that we could sit at a table at the bar upstairs to drink but we had to wait for 45 minutes to eat when we were told it was 1st come 1st serve. Disorganized. Even the manager gave us the run around. We will not be returning.,0
137,"How the hell can you claim to have all you can eat sushi when you damn selection is only the 10 basic rolls you can get an any other sushi restaurant for nearly the same cost as buying them individually?

I really want to give this place 1 star but I'm pretty much ranting on the AYCE sushi aspect of this restaurant.  I only came here because it was the closest sushi place from my buddies house and to be honest, I was PUMPED to come here since I was starving for AYCE sushi and wanted to try some new stuff.

The building is aesthetically pleasing and it does have a warm/cozy feel to it.  But the service was lacking (mainly since the waitress seemed to forget that I existed). 

Anyways, I look at all the stuff on the menu then come to find out every single thing I planned on ordering from the AYCE sushi was not on the AYCE sushi menu.

Fuck.That.Noise

I have never been so tilted after eating sushi, it fucking defies the laws of physics.

#Hungry
#Ripoff
#HorribleSelection
#WelcomeToSheetySushi",0
138,"My friend visited from the USA, where there are many Korean BBQ places. She took me here to experience it and we were very happy. Food is good, very filling, and the staff are friendly. When we arrived we were told the small restaurant was full, but instead of just turning us away the staff took my contact number and called us when a table became free. A very nice idea, meaning we could explore a bit more!",1
139,"The food tastes terrible, the portion is super tiny, and the price is unreasonable. More importantly, the owner charged us 20% tips without our permission.",0
140,"Ignore the haters (lot of them their first review - seems a bit fishy to me...). After discovering Miss Korea on a whim with a friend last November we have been twice more. Everytime we have had no problem getting tap water, though usually alongside other drinks. The BBQ stuff is awesome, the beef with ginger and soy is great. The service is quiet and efficent, which is the way I personally like it. Miss Korea is one of my favourite spots to eat currently, don't see that changing anytime soon...",1
141,"Went here with a friend. My tab was $18 hers was $29.

So, we split the tab and he has me rung up as $18. And then when I hand him my card he quickly adds to it to make it $29 and then changes my friend's to $18, so quickly you wouldn't even know it, without saying a word.

These people are rude, if not criminal.

I let it go as a 'mistake' but it's grown on me I felt the need to put in a negative review it's upset me so much.

It's old Korean man who works there at the register. I should have refused but it's only $10 but the more I think about it the more angry I become because he did it so purposely and so blatantly and then, of course, doesn't understand english.

I do not recommend, this was practically criminal. The food was okay, the younger woman is nice. There's some old lady, probably the man's wife, who came up without saying a word and just flung the food down on the table.

** DO NOT RECOMMEND **
Do not come here and pay with credit card, this sleezeball will quickly pull a bait and switch and pass it off as not being able to understand english.

Scum.",0
142,"The Cider Bar is one of my favorite bars in Songdo. The bar is always lively and has a friendly staff. They have a game night one night a month which is always a nice ice breaker to meet people.

The Cider Bar has the Largest Burger in Songdo. In fact I've never left the Cider Bar hungry when I ate there. The Premium Long Island Ice Tea is a must try!",1
143,I liked the food a lot but the service needs to improve a bit more to get that fifth star.,0
144,"Incredible place to hang out with friends! Wazza is the best! Bourbon shots rule, the secret to become the best darts player.",1
145,Me and my friends went for lunch and it was a great day. The staffs are wonderful very friendly and attentive particularly the Filipino lady who served us.The food was delicious and we had a wonderful experience.,1
146,Visited after going to the passport office nearby. We arrived at 12.00 and £48 later we left at 12.35. The menu had all the Korean favourites. We began with rice cakes and fish cakes in a sauce and squid which were nice but nothing special. We followed these with a pork and beef bibimbap. The highlight was the cucumber kimchee with pear. The cabbage kimchee was rather lacklustre. All in all probably good for the office workers nearby but not particularly relaxing. We drank a hite beer and a rice drink,0
147,"So unfortunately the best Korean restaurant in town is on the east side, far far away from my house...  This place across the street from Commercial Center is, in my opinion, the best traditional Korean restaurant in Vegas, by a mile.  Most Korean restaurants are bbq places, and even those are just mediocre.  The only other specialty Korean seems to be tofu joints, except for this place which specializes in gomtang, a soup that is similar to sullungtang and cooked in bone marrow.  

They have parking in the back, but you have to walk around to the front to enter.  It is your typical Korean restaurant decor, which is to say it's not much to speak of.  Service is friendly and speedy.  The menu consists of a various type of gomtang (different main ingredient) and several other popular Korean dishes.  Although oxtail gomtang is one of my favorite dish, we opt for a combination gomtang and a naengmyun.  I'm guessing the gomtang is already made, but perhaps because of naengmyun preparation both dishes take about 10 minutes to come out.

The naengmyun is quite good, with nicely flavored and cold soup.  Wish there was a tad more brisket slices in it though, but otherwise very satisfying.  The gomtang soup tasted great also, and the accompanying kimchi and radish kimchi (kkakdugi) were outstanding.  The kimchi is quite sweet, but I actually liked it.  I am definitely getting the oxtail gomtang next time.

I've probably tried 90% of Korean restaurants in Vegas, and it's not an impressive lot overall except Soyo which is very good, K-bop which is satisfying, and couple in Commercial Center that have a handful of good dishes.  So this one is a keeper, with great service and food on par with typically good places in L.A.  It's a solid 4 stars.

Table-for-1 Factor:  Most places like this are just fine for eating alone.",0
148,"Delicious food, great atmosphere and caring service. What more can you ask for after a long flight. The Cinder Bar has an amazing beer selection from all over the World -- quite impressive. During my visit a patron 'rang the bell' and bought a round for the bar - so much fun!",1
149,"Went there since it was near the hotel we were staying and the reviews were okish. The food didn't blow my mind off, but offered a pleasant change/brake from M. Eastern cuisine.
The spicy dishes were nice (soup and rice cake with vegetables).
Be aware if you need to take away some left overs chopsticks are not included!! This was surprising to me but anyway...",0
150,"This is an interesting restaurant if you want to try something new..My Husband is gluten intolerant and the manageress doubled checked every dish was suitable before we ate..The customer service was excellent.There is a great selection of appetizers, we had King Prawns is spicy tempura batter, pork dumpling soup, with sweet and sour seaweed, all delicious..For mains we had spicy chicken and beef marinated in garlic, chilli and sesame oil. This we cooked on a BBQ plate in the middle of the table or we could have cooked in the kitchen.. Who knows any chef who would let you cook in their kitchen..!!! There are several dipping sauces that complimented the meat well..
We experienced and tasted new flavours..Great fun for all the family..
Cost for 3 people £55 including drinks.",1
151,"We decided to visit this place, cuz we like Korean food.
This place is absolutely dull!
Walls are white and empty, light is very cold in whole restaurant and because of that u feel like in hospital.
They haven't got cloths hanger, that's little bit uncomfortable.

We took Ramen and Bibimbap (a) with set of suchi

Ramen was big and very very hot, noodles in it were very simple and without any special taste (looked like the cheapest fast food noodles), BUT it was spicy, thanks for that!

Bibimbap wasn't tasty at all....we both didn't like it.
Sushi were without any meet or fish, just vegetable sushi, but that were big and tasty.Very simple

Atmosphere 3 from 10
Food 3 from 10
Service 7 from 10",0
152,"I have been to Miss Korea twice. I have also been to Seoul (South Korea) for long periods of time (my best friend lives their). Many of the dishes are indeed authentic so people who say otherwise don't on trip adviser don't really know what they are talking about! Nice friendly restaurant with BBQ facility in the center of each table allowing you to cook your own meal if you so desire. Its not a 5* restaurant so don't walk in there with high expectations of glitz and glamour, or outstanding Ritz table service. The prices are reasonable and the service is absolutely fine. I cannot understand such negative reviews from others? God knows what these other people expect? Anyway you cant please everyone but this restaurant certainly pleases me each time I go. Looking forward to my next trip there. Angelo, Sutton Coldfield.",1
153,Best Bar in Korea so far! I had an amazing time with Warren! Don't hesitate and ask for some NZ beers and some rock songs! :-),1
154,"Waitress very unfriendly in taking order..due to communication barrier, she did not understand my question and as I repeated, she walks away..then she came back to raise her voice..people are very unfriendly and not recommended at all!!",0
155,"I've gone here twice and I'm surprised that both times I've never been served warm or hot food. I feel like the food is taken out from a freezer and placed under a hot lamp to thaw and then covered with sauce. Nothing seems to be cooked. Unfortunately, regardless of whether or not the chicken is at a good serving temperature, it's also not crispy nor tasty. I'm disappointed that this place cannot make a decent plate of the one thing they sell--chicken.

Food: 1/5",0
156,"We've been going to this restaurant since it was located in Karlín. We are always touched to see the amazing job the owners have done during the past years. Their restaurant is growing, and it's not only because of the excellent food - it's the welcoming atmosphere. There is one disadvantage for us - we can't go there for dinner whenever we want anymore - reservations have become needed. I am sure the owners will keep the good job for a very long time and we are happy for them <3",0
157,"This place was not great as I expected looking at the reviews here.
1. The food is extremely expensive. Gomtang at LA usually goes for about 7$ and here it's $10. 
2. Customer service is horrible. We ordered a korean pancake and they said they ran out when we came here for breakfast. And they didn't provide anything to make up for it. 
3. We have a little baby in the family and asked if we could just have a small bowl of soup for her because she wasn't hungry to eat a lot. They said they can't give it for free and it costs half price of the adult bowl. At LA they always give a little to babies just for service. And when they gave it, it came with no meat. Just soup for like 5 bucks. 
4. The gontang soup tastes just okay. The soup is a little clear and it's because they use a lot of water and I can taste the msg in it. I'm gonna be super thirsty later. 
5. The one star only goes for the kkak doo gee (Korean kimchi radish) and the kimchee but I would not come again. 
Even after the horrible service, they still charged us for the little soup. 

This just shows that they want money and don't care about their customers because they have no competition. They're the only Korean restaurant around. Come if you're in Vegas and miss Korean food but this I'm so tired but I have to goto practice):made my family leave Vegas in a horrible mood.",0
158,We had the Korean bbq beef and pork which was nice and taste although I think it's a bit over priced for what it is especially I am cooking the food myself.,1
159,":( I am sad to announce that my long time chinese-korean go-to lunch restaurant for their inexpensive prices and fast, good tasting food has completely changed. I went last weekend and we shared a chicken and a beef bento box as usual. The pieces of meat were just low quality (tendons and just tough), room temperature, and weren't sliced nicely. I guess the soup and sides were still decent. I remember a box was 4 bucks back in primary school, and its been raising since...now its $7 - $7.25...that's a bit much considering the quality decline. Okay, and then I used to love the pork bone soup here although it was never authentically korean. But wow, this time, there was barely any meat on the few bones, a few chunks of hard uncooked potatoes, a few pieces of shred cabbage, and the broth tasted artificial - it was spicy but lacked any meat flavour. It costed $10.  I would probably still go to the DT location for their lunch KBBQ for 15 dollars probably.",0
160,"We got to our hotel late and wanted to try some street food on the way to dinner and Yoogane was on our restaurant list. It’s a casual restaurant with lots of young, local customers. There were 3 of us and we wanted to try multiple galbi options. He suggested just one order for 2 as it was a lot of food and should be able to serve 3 adults. We didn’t listen, but at least he tried to stop us. We ordered the spicy galbi with cheese for 2. The meat, dipped and curled around the melted cheese was divine. We next ordered the mixed honey and marinated galbi with a cheese river separating the two meats. Again very good. You may need to double check that the meat is cooked through as a few pieces needed to be cooked a bit longer. It wasn’t a problem as you just moved it to the side to cook longer. They have a little self service bar where you can pick up your own kimchee, soybean soup...The 3 of us nearly finished the 2 complete orders. If we had more time, we would have gone back for another meal.",1
161,"It is so refreshing to do some grilling again.
THis is a good place for friends to sit down, chill and cook out.
The place is average, decor does not add a feel of being in an Asian food place.
Service is ok, they do help other customers who are new to table top grill experience.
The food is satisfying, especially since it's been a long time since we've had some grilled meat on the table. But I would say I've had better in the past. Also, there were only three side dishes. In authentic Korean restaurants, they provide about 5 or more with unlimited refills.

Nevertheless, if you miss the experience, this place provides some semblance to Korean grills in the UK",1
162,"I made a reservation for 2 people by calling the day earlier. I turned up the next day on time but the whole restaurant was packed and not a single table was empty. I informed them of my reservation and the 2 staff didn't seem to be aware of the reservation. So I was made to wait for 5-6 mins while they cleared up a table for me.

We ordered the following to about £45:
- Veg mandu - not tasty, just average but the apple cide vinegar dip was nice
- Spicy Calamari - the best dish of everything we had. the sauce is sweet & spicy.
- Pa jeon - seafood pancake was tasty as well
- Kimchi fried rice - shouldn't have ordered this as it was bland and the kimchi wasn't as spicy or tasty. Served with a lovely Miso soup however!
- Chicken spicy noodles - had a spicy taste and the chicken tasted good.

very generous portions of the rice and noodles. We were sated at the end. The mains were disappointing but the starters were good. Would prolly order their popular Bibimbap next time.

The staff were friendly and the service was quick considering the crowded place. however I felt that 2 people are not enough to run the service and reception. Definitely need another pair of hands on a busy afternoon.",0
163,Great place to just relax and meet friends. Very friendly atmosphere. Foreigners welcome!!! Thank you Cinder Bar!!!,1
164,"We came from London and we'll end up having Korean BBQ, it's really good place food r yummy , love bim bim bub and BBQ, we enjoy our meal I would recommend to everyone, thank you for the good meal xxx",1
165,Just witnessed employee walk out of restroom and didn't wash his hands.  Disgusting. Couldn't eat there.,0
166,"Bar most exclusively targeting foreigners. Just started some lunch items, but it’s a place to go at night. Very friendly owner/manager and has a great variety of liquor. It’s probably the preferred hangout place for the expats in town.",1
167,"This place is fking crap. The staff here is ridiculous. When first arriving, the cashier at the front failed to acknowledge us. We then had to sit ourselves down and nobody even came to serve us for an entire 15 minutes. When staff finally came to us after 15 minutes,they provided us with a menu and only 10 seconds later, asked what we wanted. When we asked for a minute to decide,the waitress rolled her eyes and sighed heavily. Later, a foreign family of four ladies came and experienced the same treatment. Their response was to leave the restaurant which I now wished we did. The food here was mediocre at best and our only wish was to get up and leave as soon as possible. Do yourself a favor and do not enter this establishment. If you like rude customer service, then this place is perfect for you!",1
168,"Perfect bar to hangout with friends, have some good beers and good time! The barman, Warren, is always in a good mood! Defenitly a must go bar!",1
169,"I'm sorry but this is literally the worst sushi I've ever had in my entire life! If you can't do it, better not to put it on the menu. All the rolls are so loose that I can't even pick up by chopsticks, avocado was so unripe, very hard and taste horrible!

Friend had the hot pot soup with seafood, she says not very fresh seafood and too salty.",0
170,I had a little trouble finding the place but once I did my mouth was treated to the best fish and chips on the planet. Amazing! The beer was ice cold and served in good portions. Beer price was a little steep for me but I hit happy hour just right so I got a bit of a break. Totally satisfied. Pro tip if you are trying to find it: if you are on the street headed towards the bridge it's on the left side of the street before the bridge. It's in a bit of an alcove in a housing development. Set back off the road a tad. There's a sign the points left and I made the mistake of turning left before the sign and walking down the road. Unless they move the sign daily go past the sign and look left back where the little alcove of trees is and pull find it. Obviously if you are coming from the north across the bridge then it's the first set of building after the bridge on the right. The staff seek you out and welcome you which is nice. The fish and chips are phenomenal. Did I mention the fish and chips are great. You should definitely try the fish and chips.,1
171,"Great food, amazing beer selection! The staff and patrons were very friendly and welcoming! Highly recommend stopping by!.",1
